,,,,,,,Daily Price Arrival Report-07-11-2025 to 21-08-2026 for Maharashtra,,,,,,
State/UT,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Pune,Nira(Saswad) APMC,Cereals,Rice,1009 Kar,Local,"4,700.00","5,500.00","5,100.00",Rs./Quintal,0.50,Metric Tonnes,19-08-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"7,300.00","12,500.00","9,900.00",Rs./Quintal,4.90,Metric Tonnes,31-12-2025
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"3,200.00","3,400.00","3,300.00",Rs./Quintal,51.80,Metric Tonnes,31-07-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,200.00","7,000.00","5,600.00",Rs./Quintal,54.50,Metric Tonnes,31-03-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,800.00","7,000.00","5,900.00",Rs./Quintal,53.40,Metric Tonnes,31-01-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"7,300.00","12,300.00","9,800.00",Rs./Quintal,4.40,Metric Tonnes,30-12-2025
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,600.00","7,600.00","6,100.00",Rs./Quintal,56.10,Metric Tonnes,30-06-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,200.00","7,100.00","5,650.00",Rs./Quintal,56.40,Metric Tonnes,30-05-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"8,300.00","11,000.00","9,650.00",Rs./Quintal,5.90,Metric Tonnes,30-04-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,200.00","7,200.00","5,700.00",Rs./Quintal,54.20,Metric Tonnes,30-03-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"5,000.00","7,200.00","6,100.00",Rs./Quintal,52.90,Metric Tonnes,30-01-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"7,300.00","12,100.00","9,700.00",Rs./Quintal,4.60,Metric Tonnes,29-12-2025
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"5,000.00","7,200.00","6,100.00",Rs./Quintal,49.10,Metric Tonnes,29-11-2025
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,500.00","6,900.00","5,700.00",Rs./Quintal,55.70,Metric Tonnes,29-07-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,600.00","7,700.00","6,150.00",Rs./Quintal,55.20,Metric Tonnes,29-06-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,200.00","7,200.00","5,700.00",Rs./Quintal,55.60,Metric Tonnes,29-04-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"3,100.00","3,500.00","3,300.00",Rs./Quintal,44.30,Metric Tonnes,28-11-2025
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,600.00","6,700.00","5,650.00",Rs./Quintal,55.80,Metric Tonnes,28-07-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"3,000.00","3,300.00","3,150.00",Rs./Quintal,46.10,Metric Tonnes,28-05-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,000.00","7,200.00","5,600.00",Rs./Quintal,55.00,Metric Tonnes,28-04-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,200.00","7,200.00","5,700.00",Rs./Quintal,54.50,Metric Tonnes,28-03-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,000.00","6,500.00","5,250.00",Rs./Quintal,52.80,Metric Tonnes,28-02-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,800.00","7,000.00","5,900.00",Rs./Quintal,53.20,Metric Tonnes,28-01-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"7,000.00","12,000.00","9,500.00",Rs./Quintal,4.30,Metric Tonnes,27-11-2025
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"3,100.00","3,400.00","3,250.00",Rs./Quintal,51.40,Metric Tonnes,27-07-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,500.00","7,500.00","6,000.00",Rs./Quintal,56.10,Metric Tonnes,27-06-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,200.00","7,000.00","5,600.00",Rs./Quintal,54.80,Metric Tonnes,27-03-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"3,800.00","6,500.00","5,150.00",Rs./Quintal,53.40,Metric Tonnes,27-02-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"7,000.00","12,000.00","9,500.00",Rs./Quintal,5.10,Metric Tonnes,27-01-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"7,300.00","12,000.00","9,650.00",Rs./Quintal,4.30,Metric Tonnes,26-12-2025
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"3,200.00","3,700.00","3,450.00",Rs./Quintal,44.20,Metric Tonnes,26-11-2025
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"3,200.00","3,400.00","3,300.00",Rs./Quintal,49.50,Metric Tonnes,26-06-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,300.00","7,200.00","5,750.00",Rs./Quintal,54.90,Metric Tonnes,26-03-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,000.00","6,700.00","5,350.00",Rs./Quintal,53.70,Metric Tonnes,26-02-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"5,200.00","7,400.00","6,300.00",Rs./Quintal,52.10,Metric Tonnes,25-12-2025
