,,,,,,,Daily Price Arrival Report-07-11-2025 to 21-08-2026 for Maharashtra,,,,,,
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"5,000.00","7,200.00","6,100.00",Rs./Quintal,47.80,Metric Tonnes,25-11-2025
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,600.00","6,600.00","5,550.00",Rs./Quintal,55.00,Metric Tonnes,25-07-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,200.00","7,000.00","5,600.00",Rs./Quintal,56.40,Metric Tonnes,25-05-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"8,200.00","11,300.00","9,750.00",Rs./Quintal,5.80,Metric Tonnes,25-03-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"3,800.00","6,500.00","5,150.00",Rs./Quintal,53.10,Metric Tonnes,25-02-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"5,400.00","7,300.00","6,350.00",Rs./Quintal,53.00,Metric Tonnes,24-12-2025
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"5,000.00","7,000.00","6,000.00",Rs./Quintal,47.50,Metric Tonnes,24-11-2025
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"3,100.00","3,400.00","3,250.00",Rs./Quintal,50.90,Metric Tonnes,24-07-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"8,500.00","11,500.00","10,000.00",Rs./Quintal,5.90,Metric Tonnes,24-04-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"8,200.00","11,300.00","9,750.00",Rs./Quintal,5.50,Metric Tonnes,24-03-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"7,800.00","11,000.00","9,400.00",Rs./Quintal,5.10,Metric Tonnes,24-02-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"5,000.00","6,800.00","5,900.00",Rs./Quintal,53.10,Metric Tonnes,24-01-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"5,200.00","7,300.00","6,250.00",Rs./Quintal,52.60,Metric Tonnes,23-12-2025
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,200.00","7,200.00","5,700.00",Rs./Quintal,55.20,Metric Tonnes,23-04-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"8,200.00","11,400.00","9,800.00",Rs./Quintal,5.30,Metric Tonnes,23-03-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"7,600.00","11,000.00","9,300.00",Rs./Quintal,4.90,Metric Tonnes,23-02-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"5,200.00","7,000.00","6,100.00",Rs./Quintal,52.00,Metric Tonnes,23-01-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"7,400.00","12,000.00","9,700.00",Rs./Quintal,4.40,Metric Tonnes,22-12-2025
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"5,000.00","7,200.00","6,100.00",Rs./Quintal,47.00,Metric Tonnes,22-11-2025
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"3,100.00","3,400.00","3,250.00",Rs./Quintal,48.70,Metric Tonnes,22-06-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,000.00","7,000.00","5,500.00",Rs./Quintal,55.70,Metric Tonnes,22-04-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"5,000.00","7,000.00","6,000.00",Rs./Quintal,53.00,Metric Tonnes,22-01-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"3,200.00","3,600.00","3,400.00",Rs./Quintal,44.10,Metric Tonnes,21-11-2025
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,500.00","7,300.00","5,900.00",Rs./Quintal,56.10,Metric Tonnes,21-08-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,500.00","6,600.00","5,550.00",Rs./Quintal,55.10,Metric Tonnes,21-07-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,300.00","7,300.00","5,800.00",Rs./Quintal,56.20,Metric Tonnes,21-05-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,000.00","6,900.00","5,450.00",Rs./Quintal,55.70,Metric Tonnes,21-04-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,200.00","7,300.00","5,750.00",Rs./Quintal,54.20,Metric Tonnes,21-03-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,200.00","6,600.00","5,400.00",Rs./Quintal,52.70,Metric Tonnes,21-02-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"7,000.00","12,200.00","9,600.00",Rs./Quintal,4.70,Metric Tonnes,21-01-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"5,200.00","7,300.00","6,250.00",Rs./Quintal,52.10,Metric Tonnes,20-12-2025
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"5,000.00","7,200.00","6,100.00",Rs./Quintal,46.60,Metric Tonnes,20-11-2025
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"3,000.00","3,400.00","3,200.00",Rs./Quintal,50.20,Metric Tonnes,20-07-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,600.00","7,500.00","6,050.00",Rs./Quintal,56.90,Metric Tonnes,20-06-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,200.00","7,300.00","5,750.00",Rs./Quintal,56.50,Metric Tonnes,20-05-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"8,200.00","11,300.00","9,750.00",Rs./Quintal,5.70,Metric Tonnes,20-03-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"7,600.00","11,000.00","9,300.00",Rs./Quintal,4.60,Metric Tonnes,20-02-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"5,000.00","7,000.00","6,000.00",Rs./Quintal,53.40,Metric Tonnes,20-01-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"5,200.00","7,300.00","6,250.00",Rs./Quintal,51.80,Metric Tonnes,19-12-2025
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"5,200.00","7,200.00","6,200.00",Rs./Quintal,46.20,Metric Tonnes,19-11-2025
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,500.00","7,400.00","5,950.00",Rs./Quintal,56.40,Metric Tonnes,19-08-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,200.00","7,100.00","5,650.00",Rs./Quintal,55.80,Metric Tonnes,19-05-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,200.00","7,200.00","5,700.00",Rs./Quintal,53.80,Metric Tonnes,19-03-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"7,000.00","12,000.00","9,500.00",Rs./Quintal,5.00,Metric Tonnes,19-01-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"7,400.00","12,000.00","9,700.00",Rs./Quintal,4.10,Metric Tonnes,18-12-2025
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"7,400.00","11,100.00","9,250.00",Rs./Quintal,4.50,Metric Tonnes,18-11-2025
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"3,400.00","3,800.00","3,600.00",Rs./Quintal,52.40,Metric Tonnes,18-08-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,500.00","6,600.00","5,550.00",Rs./Quintal,55.10,Metric Tonnes,18-07-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"3,100.00","3,400.00","3,250.00",Rs./Quintal,48.30,Metric Tonnes,18-06-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"3,000.00","3,300.00","3,150.00",Rs./Quintal,45.90,Metric Tonnes,18-05-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"8,200.00","11,500.00","9,850.00",Rs./Quintal,5.80,Metric Tonnes,18-04-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"8,200.00","11,200.00","9,700.00",Rs./Quintal,5.60,Metric Tonnes,18-03-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"7,500.00","11,200.00","9,350.00",Rs./Quintal,4.80,Metric Tonnes,18-02-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"7,400.00","12,000.00","9,700.00",Rs./Quintal,4.50,Metric Tonnes,17-12-2025
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"5,000.00","7,400.00","6,200.00",Rs./Quintal,45.40,Metric Tonnes,17-11-2025
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"3,300.00","3,700.00","3,500.00",Rs./Quintal,53.00,Metric Tonnes,17-08-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,500.00","6,800.00","5,650.00",Rs./Quintal,55.50,Metric Tonnes,17-07-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"3,100.00","3,400.00","3,250.00",Rs./Quintal,48.10,Metric Tonnes,17-06-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"8,400.00","11,200.00","9,800.00",Rs./Quintal,5.50,Metric Tonnes,17-03-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"7,600.00","11,200.00","9,400.00",Rs./Quintal,4.70,Metric Tonnes,17-02-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"5,000.00","7,200.00","6,100.00",Rs./Quintal,52.40,Metric Tonnes,17-01-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"7,500.00","12,000.00","9,750.00",Rs./Quintal,4.90,Metric Tonnes,16-12-2025
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,500.00","7,000.00","5,750.00",Rs./Quintal,55.60,Metric Tonnes,16-07-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"8,300.00","11,500.00","9,900.00",Rs./Quintal,6.10,Metric Tonnes,16-04-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"3,200.00","3,600.00","3,400.00",Rs./Quintal,46.20,Metric Tonnes,16-03-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"7,300.00","11,300.00","9,300.00",Rs./Quintal,5.50,Metric Tonnes,16-02-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"5,000.00","7,000.00","6,000.00",Rs./Quintal,52.00,Metric Tonnes,15-12-2025
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"3,300.00","3,900.00","3,600.00",Rs./Quintal,43.30,Metric Tonnes,15-11-2025
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"3,200.00","3,500.00","3,350.00",Rs./Quintal,50.20,Metric Tonnes,15-07-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"3,100.00","3,400.00","3,250.00",Rs./Quintal,48.40,Metric Tonnes,15-06-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,200.00","7,300.00","5,750.00",Rs./Quintal,56.20,Metric Tonnes,15-04-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"5,200.00","7,200.00","6,200.00",Rs./Quintal,44.70,Metric Tonnes,14-11-2025
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,500.00","6,800.00","5,650.00",Rs./Quintal,55.80,Metric Tonnes,14-07-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"3,000.00","3,300.00","3,150.00",Rs./Quintal,46.50,Metric Tonnes,14-05-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,200.00","7,200.00","5,700.00",Rs./Quintal,55.10,Metric Tonnes,14-04-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,400.00","7,000.00","5,650.00",Rs./Quintal,53.60,Metric Tonnes,14-03-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"7,300.00","11,300.00","9,300.00",Rs./Quintal,5.10,Metric Tonnes,14-02-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"5,200.00","7,000.00","6,100.00",Rs./Quintal,44.30,Metric Tonnes,13-11-2025
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,500.00","7,200.00","5,850.00",Rs./Quintal,56.60,Metric Tonnes,13-08-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"3,300.00","3,600.00","3,450.00",Rs./Quintal,51.50,Metric Tonnes,13-07-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,500.00","7,300.00","5,900.00",Rs./Quintal,56.60,Metric Tonnes,13-06-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"3,300.00","3,500.00","3,400.00",Rs./Quintal,46.90,Metric Tonnes,13-05-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,300.00","7,200.00","5,750.00",Rs./Quintal,53.40,Metric Tonnes,13-03-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,300.00","6,600.00","5,450.00",Rs./Quintal,53.10,Metric Tonnes,13-02-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"7,000.00","12,300.00","9,650.00",Rs./Quintal,5.00,Metric Tonnes,13-01-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"5,200.00","7,200.00","6,200.00",Rs./Quintal,52.30,Metric Tonnes,12-12-2025
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"5,000.00","7,000.00","6,000.00",Rs./Quintal,44.00,Metric Tonnes,12-11-2025
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,500.00","6,900.00","5,700.00",Rs./Quintal,55.90,Metric Tonnes,12-08-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"3,000.00","3,400.00","3,200.00",Rs./Quintal,48.30,Metric Tonnes,12-06-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,200.00","7,400.00","5,800.00",Rs./Quintal,55.00,Metric Tonnes,12-05-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"8,200.00","11,000.00","9,600.00",Rs./Quintal,5.50,Metric Tonnes,12-03-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"7,300.00","11,300.00","9,300.00",Rs./Quintal,5.30,Metric Tonnes,12-02-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"7,000.00","12,200.00","9,600.00",Rs./Quintal,4.80,Metric Tonnes,12-01-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"5,000.00","7,200.00","6,100.00",Rs./Quintal,52.00,Metric Tonnes,11-12-2025
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"3,400.00","3,800.00","3,600.00",Rs./Quintal,53.00,Metric Tonnes,11-08-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,600.00","7,400.00","6,000.00",Rs./Quintal,55.90,Metric Tonnes,11-07-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,500.00","7,300.00","5,900.00",Rs./Quintal,56.30,Metric Tonnes,11-06-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,200.00","7,200.00","5,700.00",Rs./Quintal,55.60,Metric Tonnes,11-05-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,400.00","7,000.00","5,650.00",Rs./Quintal,53.30,Metric Tonnes,11-03-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,300.00","6,600.00","5,450.00",Rs./Quintal,53.20,Metric Tonnes,11-02-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"7,500.00","12,000.00","9,750.00",Rs./Quintal,4.40,Metric Tonnes,10-12-2025
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"3,400.00","3,700.00","3,550.00",Rs./Quintal,52.90,Metric Tonnes,10-08-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,400.00","7,200.00","5,800.00",Rs./Quintal,56.00,Metric Tonnes,10-07-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,500.00","7,200.00","5,850.00",Rs./Quintal,56.60,Metric Tonnes,10-06-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"8,000.00","11,300.00","9,650.00",Rs./Quintal,5.70,Metric Tonnes,10-04-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,400.00","7,000.00","5,650.00",Rs./Quintal,53.10,Metric Tonnes,10-03-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,500.00","6,800.00","5,650.00",Rs./Quintal,53.90,Metric Tonnes,10-02-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"7,100.00","12,500.00","9,800.00",Rs./Quintal,4.80,Metric Tonnes,10-01-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"3,100.00","3,400.00","3,250.00",Rs./Quintal,51.10,Metric Tonnes,09-07-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,300.00","7,100.00","5,700.00",Rs./Quintal,56.60,Metric Tonnes,09-06-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,200.00","7,000.00","5,600.00",Rs./Quintal,55.90,Metric Tonnes,09-05-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"8,000.00","11,400.00","9,700.00",Rs./Quintal,5.40,Metric Tonnes,09-04-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"8,200.00","11,200.00","9,700.00",Rs./Quintal,5.40,Metric Tonnes,09-03-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,700.00","7,000.00","5,850.00",Rs./Quintal,54.00,Metric Tonnes,09-02-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"5,000.00","7,300.00","6,150.00",Rs./Quintal,52.60,Metric Tonnes,09-01-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"5,200.00","7,200.00","6,200.00",Rs./Quintal,44.20,Metric Tonnes,08-11-2025
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,400.00","7,200.00","5,800.00",Rs./Quintal,55.70,Metric Tonnes,08-07-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"3,100.00","3,400.00","3,250.00",Rs./Quintal,48.10,Metric Tonnes,08-06-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"3,200.00","3,400.00","3,300.00",Rs./Quintal,46.80,Metric Tonnes,08-05-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"8,000.00","11,300.00","9,650.00",Rs./Quintal,5.50,Metric Tonnes,08-04-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"5,200.00","7,200.00","6,200.00",Rs./Quintal,52.10,Metric Tonnes,08-01-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"3,200.00","3,600.00","3,400.00",Rs./Quintal,43.40,Metric Tonnes,07-11-2025
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,500.00","6,900.00","5,700.00",Rs./Quintal,55.40,Metric Tonnes,07-08-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,500.00","7,200.00","5,850.00",Rs./Quintal,55.70,Metric Tonnes,07-07-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"3,300.00","3,500.00","3,400.00",Rs./Quintal,46.40,Metric Tonnes,07-05-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"8,200.00","11,400.00","9,800.00",Rs./Quintal,5.70,Metric Tonnes,07-04-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,200.00","7,000.00","5,600.00",Rs./Quintal,52.70,Metric Tonnes,07-03-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"7,000.00","11,600.00","9,300.00",Rs./Quintal,4.80,Metric Tonnes,07-02-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"7,100.00","12,200.00","9,650.00",Rs./Quintal,4.50,Metric Tonnes,07-01-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"3,400.00","3,600.00","3,500.00",Rs./Quintal,52.10,Metric Tonnes,06-08-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,600.00","7,400.00","6,000.00",Rs./Quintal,56.20,Metric Tonnes,06-07-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,300.00","7,100.00","5,700.00",Rs./Quintal,56.00,Metric Tonnes,06-06-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,200.00","7,200.00","5,700.00",Rs./Quintal,55.90,Metric Tonnes,06-05-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,200.00","7,200.00","5,700.00",Rs./Quintal,55.40,Metric Tonnes,06-04-2026
Maharashtra,Pune,Pune APMC,Cereals,Rice,Other,Local,"4,000.00","6,700.00","5,350.00",Rs./Quintal,53.10,Metric Tonnes,06-03-2026
