,,,,,,,Daily Price Arrival Report-07-11-2025 to 21-08-2026 for Maharashtra,,,,,,
State/UT,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,050.00","2,400.00","2,225.00",Rs./Quintal,44.80,Metric Tonnes,19-06-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,100.00","2,400.00","2,250.00",Rs./Quintal,43.40,Metric Tonnes,19-05-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,FAQ,"2,600.00","2,700.00","2,650.00",Rs./Quintal,35.00,Metric Tonnes,18-11-2025
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,FAQ,"2,650.00","2,750.00","2,700.00",Rs./Quintal,49.80,Metric Tonnes,18-08-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,FAQ,"2,600.00","2,700.00","2,650.00",Rs./Quintal,45.00,Metric Tonnes,17-11-2025
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,FAQ,"2,650.00","2,750.00","2,700.00",Rs./Quintal,33.80,Metric Tonnes,17-08-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,FAQ,"2,625.00","2,625.00","2,625.00",Rs./Quintal,25.20,Metric Tonnes,17-07-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,000.00","2,400.00","2,200.00",Rs./Quintal,37.00,Metric Tonnes,17-06-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,FAQ,"2,600.00","2,700.00","2,650.00",Rs./Quintal,21.60,Metric Tonnes,16-12-2025
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,550.00","2,550.00","2,550.00",Rs./Quintal,29.00,Metric Tonnes,16-07-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,100.00","2,400.00","2,250.00",Rs./Quintal,33.40,Metric Tonnes,16-06-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,FAQ,"2,700.00","2,700.00","2,700.00",Rs./Quintal,0.40,Metric Tonnes,16-04-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,100.00","2,300.00","2,200.00",Rs./Quintal,43.00,Metric Tonnes,16-04-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,100.00","2,350.00","2,225.00",Rs./Quintal,49.60,Metric Tonnes,16-03-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,FAQ,"2,450.00","2,500.00","2,475.00",Rs./Quintal,26.40,Metric Tonnes,16-02-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,FAQ,"2,600.00","3,000.00","2,800.00",Rs./Quintal,5.00,Metric Tonnes,16-01-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,FAQ,"2,600.00","2,700.00","2,650.00",Rs./Quintal,5.40,Metric Tonnes,15-12-2025
