,,,,,,,Daily Price Arrival Report-07-11-2025 to 21-08-2026 for Maharashtra,,,,,,
State/UT,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,200.00","3,500.00","2,850.00",Rs./Quintal,10.60,Metric Tonnes,20-05-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,000.00","2,500.00",Rs./Quintal,24.20,Metric Tonnes,20-02-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,100.00","3,500.00","2,800.00",Rs./Quintal,27.80,Metric Tonnes,19-08-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,300.00","3,550.00","2,925.00",Rs./Quintal,15.20,Metric Tonnes,19-06-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,100.00","3,000.00","2,550.00",Rs./Quintal,9.20,Metric Tonnes,19-05-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,100.00","3,400.00","2,750.00",Rs./Quintal,7.60,Metric Tonnes,18-11-2025
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,100.00","3,700.00","2,900.00",Rs./Quintal,28.00,Metric Tonnes,18-08-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,500.00","2,750.00",Rs./Quintal,14.00,Metric Tonnes,17-11-2025
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,100.00","4,000.00","3,050.00",Rs./Quintal,29.80,Metric Tonnes,17-08-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","4,000.00","3,000.00",Rs./Quintal,2.00,Metric Tonnes,17-07-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,600.00","2,800.00",Rs./Quintal,7.20,Metric Tonnes,17-06-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,400.00","2,700.00",Rs./Quintal,14.80,Metric Tonnes,16-12-2025
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,100.00","4,000.00","3,050.00",Rs./Quintal,10.40,Metric Tonnes,16-07-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,350.00","2,675.00",Rs./Quintal,31.20,Metric Tonnes,16-06-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,200.00","3,600.00","2,900.00",Rs./Quintal,10.60,Metric Tonnes,16-04-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,500.00","2,750.00",Rs./Quintal,21.40,Metric Tonnes,16-03-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","2,500.00","2,250.00",Rs./Quintal,13.20,Metric Tonnes,16-02-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,300.00","3,300.00","2,800.00",Rs./Quintal,26.40,Metric Tonnes,16-01-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,100.00","2,550.00",Rs./Quintal,25.40,Metric Tonnes,15-12-2025
